tag,model,num_pages,Accuracy,Precision,Recall,F1-score,TPR,FPR
mix_K4_deltat0p01_N10,DF,95,0.5142821052631578,0.5308631578947367,0.5143021052631579,0.4400715789473684,0.55252,0.5239210526315791
mix_K4_deltat0p01_N10,TikTok,95,0.5093684210526315,0.5165547368421051,0.5094000000000001,0.41572736842105257,0.5649705263157895,0.5461736842105265
mix_K4_deltat0p01_N10,VarCNN,94,0.5099936170212765,0.5192670212765957,0.5100106382978722,0.43780212765957455,0.5444882978723405,0.5244659574468085
mix_K4_deltat0p01_N10,RF,95,0.512997894736842,0.517976842105263,0.5130642105263158,0.43750315789473687,0.6095463157894737,0.5834094736842105
