tag,model,num_pages,Accuracy,Precision,Recall,F1-score,TPR,FPR
legacyPadl100_pin0p015_pout0p045_L1_G1,DF,95,0.6003400000000001,0.4477378947368424,0.5997905263157892,0.492976842105263,0.3686842105263158,0.16910947368421053
legacyPadl100_pin0p015_pout0p045_L1_G1,TikTok,95,0.7192578947368423,0.7008284210526315,0.7190399999999999,0.6861852631578945,0.6713021052631581,0.2332168421052632
legacyPadl100_pin0p015_pout0p045_L1_G1,VarCNN,95,0.6792242105263159,0.6782305263157895,0.679444210526316,0.6410705263157894,0.7448999999999999,0.38600842105263156
legacyPadl100_pin0p015_pout0p045_L1_G1,RF,95,0.7611905263157892,0.782222105263158,0.7615042105263155,0.7430399999999991,0.8604084210526316,0.33737894736842106
legacyPadl100_pin0p015_pout0p045_L1_G3,DF,95,0.5924178947368423,0.5215052631578949,0.5924557894736842,0.5160789473684207,0.5601221052631579,0.375201052631579
legacyPadl100_pin0p015_pout0p045_L1_G3,TikTok,95,0.6459063157894737,0.6155694736842104,0.6457600000000001,0.6050673684210527,0.5747789473684212,0.2832442105263159
legacyPadl100_pin0p015_pout0p045_L1_G3,VarCNN,95,0.6383263157894737,0.6712705263157893,0.638658947368421,0.6136778947368422,0.7509494736842106,0.4736305263157894
legacyPadl100_pin0p015_pout0p045_L1_G3,RF,95,0.6910705263157894,0.7175442105263157,0.6914652631578946,0.6816621052631578,0.8260515789473686,0.44312210526315776
legacyPadl100_pin0p015_pout0p045_L1_G5,DF,95,0.6117284210526316,0.5855421052631581,0.6117873684210526,0.5582684210526313,0.6402631578947368,0.41669894736842095
legacyPadl100_pin0p015_pout0p045_L1_G5,TikTok,95,0.5928147368421055,0.5573494736842106,0.5925747368421052,0.5392663157894738,0.4731757894736841,0.28802105263157896
legacyPadl100_pin0p015_pout0p045_L1_G5,VarCNN,95,0.6188726315789475,0.6596105263157894,0.6190799999999999,0.5918484210526314,0.6976673684210527,0.4595031578947366
legacyPadl100_pin0p015_pout0p045_L1_G5,RF,95,0.6424105263157893,0.6733273684210526,0.6427326315789474,0.630144210526316,0.7614684210526318,0.47600000000000015
legacyPadl100_pin0p015_pout0p045_L1_G7,DF,95,0.5979126315789474,0.6041252631578946,0.5978873684210526,0.5530600000000003,0.5661147368421053,0.3703463157894736
legacyPadl100_pin0p015_pout0p045_L1_G7,TikTok,95,0.5646905263157895,0.5258063157894736,0.5646789473684213,0.500618947368421,0.5130631578947369,0.3837052631578947
legacyPadl100_pin0p015_pout0p045_L1_G7,VarCNN,95,0.5920757894736843,0.6379021052631579,0.5921505263157896,0.5515536842105261,0.6675778947368421,0.4832631578947368
legacyPadl100_pin0p015_pout0p045_L1_G7,RF,95,0.6157736842105264,0.6596357894736843,0.6160642105263158,0.5922778947368419,0.7261936842105265,0.4940673684210527
legacyPadl100_pin0p015_pout0p045_L1_G9,DF,95,0.593682105263158,0.6237136842105262,0.5939010526315789,0.5514778947368422,0.6262452631578949,0.43844631578947363
legacyPadl100_pin0p015_pout0p045_L1_G9,TikTok,95,0.5611557894736844,0.5205284210526316,0.5608168421052634,0.4947789473684211,0.4331957894736841,0.31155789473684203
legacyPadl100_pin0p015_pout0p045_L1_G9,VarCNN,95,0.5835305263157898,0.6280547368421054,0.583718947368421,0.5389568421052631,0.6630031578947371,0.49555894736842104
legacyPadl100_pin0p015_pout0p045_L1_G9,RF,95,0.593447368421053,0.6454315789473684,0.5937073684210528,0.5616073684210525,0.6973410526315791,0.5099199999999998
legacyPadl100_pin0p015_pout0p045_L3_G1,DF,95,0.6768073684210528,0.6337094736842103,0.6771715789473686,0.6243378947368421,0.8063463157894737,0.45198947368421066
legacyPadl100_pin0p015_pout0p045_L3_G1,TikTok,95,0.7382031578947366,0.7586810526315791,0.7385294736842103,0.7254621052631578,0.8439494736842106,0.3668789473684212
legacyPadl100_pin0p015_pout0p045_L3_G1,VarCNN,95,0.6716494736842102,0.6751705263157893,0.6721694736842105,0.6279263157894736,0.8272494736842105,0.482903157894737
legacyPadl100_pin0p015_pout0p045_L3_G1,RF,95,0.7353757894736839,0.7508757894736844,0.7358515789473682,0.7116852631578945,0.8996084210526316,0.42789684210526335
legacyPadl100_pin0p015_pout0p045_L5_G1,DF,95,0.6886642105263157,0.7325578947368426,0.6892200000000003,0.6661431578947369,0.891874736842105,0.5134336842105262
legacyPadl100_pin0p015_pout0p045_L5_G1,TikTok,95,0.6950326315789471,0.7457431578947373,0.6956210526315791,0.6757073684210526,0.9131199999999996,0.521877894736842
legacyPadl100_pin0p015_pout0p045_L5_G1,VarCNN,95,0.6423294736842103,0.6473021052631581,0.6429673684210527,0.5839094736842104,0.8166252631578949,0.5306905263157895
legacyPadl100_pin0p015_pout0p045_L5_G1,RF,95,0.6999052631578946,0.7574315789473689,0.7004821052631582,0.6837136842105261,0.9126463157894734,0.5116799999999998
legacyPadl100_pin0p015_pout0p045_L7_G1,DF,95,0.6441052631578946,0.7107031578947366,0.6446905263157896,0.6033221052631579,0.8452589473684213,0.5558842105263156
legacyPadl100_pin0p015_pout0p045_L7_G1,TikTok,95,0.64718,0.7252768421052631,0.64778,0.6098757894736843,0.869026315789474,0.5734736842105261
legacyPadl100_pin0p015_pout0p045_L7_G1,VarCNN,95,0.5942421052631577,0.5730705263157895,0.594794736842105,0.5095463157894735,0.7192526315789475,0.5296747368421052
legacyPadl100_pin0p015_pout0p045_L7_G1,RF,95,0.6466421052631579,0.7170789473684209,0.6472557894736843,0.6048189473684211,0.8563526315789476,0.5618494736842103
legacyPadl100_pin0p015_pout0p045_L9_G1,DF,86,0.5126093023255812,0.2924825581395348,0.513253488372093,0.35446279069767456,0.517053488372093,0.4905430232558139
legacyPadl100_pin0p015_pout0p045_L9_G1,TikTok,86,0.4993244186046511,0.24966627906976743,0.5,0.3329988372093025,0.45348837209302323,0.45348837209302323
legacyPadl100_pin0p015_pout0p045_L9_G1,VarCNN,27,0.499837037037037,0.2499185185185185,0.5,0.333225925925926,0.4444444444444444,0.4444444444444444
legacyPadl100_pin0p015_pout0p045_L9_G1,RF,86,0.4996627906976744,0.24983372093023254,0.5,0.3331500000000001,0.37209302325581395,0.37209302325581395
legacyPadl100_pin0p025_pout0p075_L1_G1,DF,95,0.6391094736842108,0.5301947368421057,0.638678947368421,0.5484399999999999,0.4732536842105262,0.19589894736842106
legacyPadl100_pin0p025_pout0p075_L1_G1,TikTok,95,0.7763589473684215,0.7749221052631579,0.7762957894736843,0.7562305263157892,0.7789947368421052,0.22640105263157895
legacyPadl100_pin0p025_pout0p075_L1_G1,VarCNN,95,0.7403157894736841,0.7481473684210526,0.7405926315789474,0.7132578947368423,0.8272863157894734,0.34609684210526315
legacyPadl100_pin0p025_pout0p075_L1_G1,RF,95,0.803714736842105,0.8299315789473685,0.8040210526315789,0.7990568421052635,0.9226442105263156,0.3145894736842105
legacyPadl100_pin0p025_pout0p075_L1_G3,DF,95,0.5877778947368422,0.5150368421052633,0.5875673684210526,0.5020589473684212,0.5235747368421053,0.34844105263157904
legacyPadl100_pin0p025_pout0p075_L1_G3,TikTok,95,0.6626589473684211,0.6460852631578947,0.6624873684210526,0.627697894736842,0.6258526315789473,0.30088
legacyPadl100_pin0p025_pout0p075_L1_G3,VarCNN,95,0.7043610526315789,0.7039673684210529,0.7046421052631582,0.6857021052631579,0.8195957894736842,0.4103136842105264
legacyPadl100_pin0p025_pout0p075_L1_G3,RF,95,0.7009347368421055,0.7307463157894732,0.701343157894737,0.6910305263157894,0.8545926315789474,0.45191578947368455
legacyPadl100_pin0p025_pout0p075_L1_G5,DF,95,0.6100589473684211,0.5826126315789474,0.6101463157894736,0.5538578947368421,0.6322178947368422,0.41192631578947364
legacyPadl100_pin0p025_pout0p075_L1_G5,TikTok,95,0.6195589473684211,0.6011400000000001,0.6195789473684208,0.5793084210526314,0.5849999999999999,0.3458389473684212
legacyPadl100_pin0p025_pout0p075_L1_G5,VarCNN,95,0.7076199999999998,0.740537894736842,0.7079463157894736,0.6873947368421052,0.8523747368421055,0.43648315789473696
legacyPadl100_pin0p025_pout0p075_L1_G5,RF,95,0.6602315789473682,0.6890073684210524,0.6605599999999998,0.6497410526315788,0.7782242105263155,0.45710210526315775
legacyPadl100_pin0p025_pout0p075_L1_G7,DF,95,0.6088778947368424,0.6199157894736841,0.6089631578947368,0.5684705263157894,0.6472726315789473,0.42935789473684227
legacyPadl100_pin0p025_pout0p075_L1_G7,TikTok,95,0.5654073684210529,0.5198073684210529,0.565216842105263,0.498515789473684,0.463357894736842,0.33292842105263165
legacyPadl100_pin0p025_pout0p075_L1_G7,VarCNN,95,0.7020042105263158,0.7283715789473686,0.7023894736842105,0.6823947368421049,0.8560284210526314,0.4512452631578949
legacyPadl100_pin0p025_pout0p075_L1_G7,RF,95,0.6310147368421051,0.6677442105263159,0.6312526315789472,0.6145115789473684,0.7289347368421053,0.4664347368421053
legacyPadl100_pin0p025_pout0p075_L1_G9,DF,95,0.5811252631578947,0.596534736842105,0.5812736842105262,0.5310547368421052,0.6187410526315789,0.4561968421052631
legacyPadl100_pin0p025_pout0p075_L1_G9,TikTok,95,0.5641642105263157,0.525902105263158,0.5639284210526317,0.4945747368421052,0.4621778947368421,0.3343189473684211
legacyPadl100_pin0p025_pout0p075_L1_G9,VarCNN,95,0.6999631578947368,0.7446210526315789,0.7004126315789473,0.6765494736842103,0.8663715789473686,0.46554210526315803
legacyPadl100_pin0p025_pout0p075_L1_G9,RF,95,0.6051115789473684,0.6499473684210527,0.6053000000000001,0.5794526315789474,0.6845557894736843,0.47393789473684217
legacyPadl100_pin0p025_pout0p075_L3_G1,DF,95,0.6846894736842104,0.6532715789473683,0.6851305263157895,0.6339105263157891,0.8473115789473683,0.4770442105263157
legacyPadl100_pin0p025_pout0p075_L3_G1,TikTok,95,0.7564631578947368,0.787365263157895,0.7568210526315792,0.7469189473684209,0.8838442105263156,0.37019263157894716
legacyPadl100_pin0p025_pout0p075_L3_G1,VarCNN,95,0.7309463157894738,0.7514652631578949,0.7311715789473686,0.7117263157894734,0.8243726315789471,0.36203157894736837
legacyPadl100_pin0p025_pout0p075_L3_G1,RF,95,0.7615115789473682,0.8018347368421053,0.7619294736842105,0.7521863157894736,0.9116947368421051,0.3878263157894735
legacyPadl100_pin0p025_pout0p075_L5_G1,DF,95,0.6895,0.7437073684210526,0.6900263157894739,0.6658389473684209,0.8978915789473689,0.5178294736842105
legacyPadl100_pin0p025_pout0p075_L5_G1,TikTok,95,0.6930473684210526,0.7517957894736843,0.6935873684210527,0.67058,0.9050221052631584,0.5178378947368422
legacyPadl100_pin0p025_pout0p075_L5_G1,VarCNN,95,0.7164926315789475,0.7110231578947367,0.7167705263157897,0.6818157894736843,0.8113894736842107,0.37785157894736837
legacyPadl100_pin0p025_pout0p075_L5_G1,RF,95,0.6978926315789474,0.7602557894736843,0.6984800000000001,0.6771473684210527,0.9142789473684215,0.5173084210526316
legacyPadl100_pin0p025_pout0p075_L7_G1,DF,95,0.6405536842105264,0.7253736842105267,0.6411568421052634,0.5956610526315789,0.862042105263158,0.5797200000000001
