tag,model,num_pages,Accuracy,Precision,Recall,F1-score,TPR,FPR
legacyPadl100_pin0p02_pout0p06_L7_G1,DF,95,0.639362105263158,0.7036905263157898,0.6398736842105265,0.5909231578947368,0.8223168421052633,0.5425684210526316
legacyPadl100_pin0p02_pout0p06_L7_G1,TikTok,95,0.6424694736842106,0.7207326315789475,0.643021052631579,0.5988631578947368,0.8605642105263162,0.5745210526315789
legacyPadl100_pin0p02_pout0p06_L7_G1,VarCNN,95,0.6471157894736841,0.5926568421052631,0.6474200000000001,0.5795831578947367,0.7449326315789473,0.45009368421052637
legacyPadl100_pin0p02_pout0p06_L7_G1,RF,95,0.6415284210526316,0.7121347368421054,0.6421863157894737,0.5930557894736841,0.8630021052631581,0.5786305263157893
